Time	Actinomycetaceae	Alteromonadaceae	Arcobacteraceae	Bacillaceae	Beijerinckiaceae	Brevibacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Chthoniobacteraceae	Clostridiaceae	Comamonadaceae	Corynebacteriaceae	Cyanobiaceae	Devosiaceae	Diplorickettsiaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Ezakiella	Finegoldia	Gemmataceae	Haliangiaceae	Iamiaceae	Intrasporangiaceae	Kineosporiaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	LiUU-11-161	Methanoregulaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	NS11-12 marine group	Neisseriaceae	Nocardioidaceae	Oxalobacteraceae	Paenibacillaceae	Pectobacteriaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhizobiales Incertae Sedis	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Roseiflexaceae	Rubritaleaceae	Saprospiraceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	UBA12409	Veillonellaceae	Verrucomicrobiaceae	Vicinamibacteraceae	WWH38	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	env.OPS 17
1	0	0	0	0.07128085300674133	0	0	0.0022560631697687537	0	0	5.371578975639889e-5	0	0.003115515805871136	0	0	0	0	0.02473612118282169	0.03464668439287728	0.003303521070018532	0	0	5.103000026857895e-4	0.00048344210780759005	0	0	0	8.594526361023823e-4	0.845674536029866	0	0	0	0	0	0.00048344210780759005	0	0.001020600005371579	5.103000026857895e-4	0	0	4.028684231729917e-4	0.004324121075390111	0	4.028684231729917e-4	4.565842129293906e-4	7.251631617113851e-4	0	8.057368463459834e-4	0.0011011736900061774	8.057368463459834e-5	0	0	0	0	0	0.0011817473746407756	0	0	0	0	0	0	8.594526361023823e-4	4.028684231729917e-4	0	0	0	0	0	0	3.2229473853839335e-4
2	0	0	0	0.07996719413014819	4.4541225378600416e-4	0	0.0011280315848843769	0	0	8.846889021697631e-4	0	0.004147747674950481	0	0	0	0	0.028798823731072336	0.03258283607614434	0.0034499063002935053	0	0	2.5515000134289476e-4	2.4172105390379503e-4	0	0	0	0.003019716090066104	0.8325505544974959	0	0	0	0	0	0.0021718408203098127	0	5.103000026857895e-4	2.5515000134289476e-4	0	2.144577518228909e-4	2.0143421158649584e-4	0.0029868980447061745	0	2.0143421158649584e-4	2.282921064646953e-4	8.574840850623638e-4	4.124187535055594e-4	5.843326747154378e-4	7.485478466857572e-4	8.816210994686403e-4	0	0	0	0	0	5.908736873203878e-4	0	0	0	2.144577518228909e-4	0	0	5.287068188925254e-4	2.0143421158649584e-4	1.8146425154244613e-4	0	1.9796100168266851e-4	1.9796100168266851e-4	0	0	1.6114736926919668e-4
3	0	0	0	0.08865353525355504	8.908245075720083e-4	0	0	0	0	0.0017156620145831272	0	0.005179979544029826	0	0	0	0	0.032861526279322976	0.030518987759411396	0.003596291530568478	0	0	0	0	0	0	0	0.005179979544029826	0.8194265729651259	0	0	0	0	0	0.003860239532812036	0	0	0	0	4.289155036457818e-4	0	0.0016496750140222376	0	0	0	9.898050084133426e-4	8.248375070111188e-4	3.6292850308489226e-4	3.9592200336533703e-4	0.0016826685143026823	0	0	0	0	0	0	0	0	0	4.289155036457818e-4	0	0	1.9796100168266851e-4	0	3.6292850308489226e-4	0	3.9592200336533703e-4	3.9592200336533703e-4	0	0	0
4	7.666666666666667e-4	0	0	0.12131666666666667	0	0	6.333333333333333e-4	6e-4	6.833333333333333e-4	1.8333333333333334e-4	0	0.011383333333333334	0.0011666666666666668	0	0	0	0.037116666666666666	0.019233333333333335	0.0010333333333333334	0	2e-4	0	0	0	0	0	0	0.78135	0	0	0	0	0	0	4.333333333333333e-4	9e-4	0	1.8333333333333334e-4	2.3333333333333333e-4	1.5e-4	0.0044666666666666665	0	0	0	0	0.005016666666666667	5.166666666666667e-4	0	0	1.6666666666666666e-4	0	0	0	0	1.5e-4	4.166666666666667e-4	0	0.0055	0.002766666666666667	2.666666666666667e-4	5.333333333333334e-4	4.8333333333333334e-4	0	0	0	0.0018333333333333333	0	3.1666666666666665e-4	0	0
5	0	0	0.0015666666666666667	0.0938	0	5.333333333333334e-4	0	0	0	3.3333333333333335e-5	3.1666666666666665e-4	0.01735	0	0	1e-4	0	0.05701666666666667	0.06448333333333334	2e-4	0	0	0	0	0	0	1.5e-4	1.1666666666666667e-4	0.7407333333333334	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5e-4	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0.017583333333333333	4.166666666666667e-4	0	0	1.5e-4	0.0014333333333333333	0	0	2.1666666666666666e-4	1.6666666666666666e-4	9.833333333333332e-4	0	0
6	0	0	0	0.08562972035109206	0	0	0	0	0	7.348438456827925e-4	0	0.016758522147377015	2.2453561951418658e-4	5.103082261686059e-4	0	2.6536027760767504e-4	0.025862420902224945	0.06074709124311084	0.007450500102061645	8.369054909165136e-4	0	0.00385793018983466	0	2.2453561951418658e-4	2.8577260665441925e-4	0	0	0.759216166564605	0	0	0	0	0.0016125739946927945	0.0036538068993672177	8.369054909165136e-4	0.007348438456827924	0	4.286589099816289e-4	0	0	0.009695856297203511	0.0011226780975709329	0	0	0	0.0014288630332720963	0	0	0.0010410287813839559	0	0	0	0	0.003817105531741172	0	4.286589099816289e-4	5.511328842620943e-4	1.224739742804654e-4	0.0019799959175341906	0.0011022657685241886	0	0	8.369054909165136e-4	4.082465809348847e-4	0	0	6.531945294958154e-4	3.265972647479077e-4	0	0
7	2.4762690879075525e-4	0	0	0.08489475856376393	0	0	0	0	0	0.001011143210895584	0	0.0018984729673957904	0.001712752785802724	0	0	0	0.01613702022286422	0.021935617003714405	0.001733388361535287	0	0	0	0	0	0	0	0	0.8556541477507222	0	0	0	0	0	0.005035080478745357	0	0	0	0	0	0	0.002579446966570367	0	2.682624845233182e-4	0	0	8.047874535699545e-4	8.254230293025175e-5	0	0	0	0	0	0	0	0	0	2.888980602558811e-4	0	0.0033016921172100704	8.047874535699545e-4	0	0	9.492364836978952e-4	0	2.4762690879075525e-4	0	8.254230293025175e-5	3.30169211721007e-4	0	0
8	0	1.946737268338265e-4	0	0.09951720915745212	0	0	0	0	0	5.840211805014795e-4	0	0.0040881482635103565	0	0	0	0	0.005957016041115091	0.03453511914032082	0.008098427036287183	0	0	0	0	0	0	0	0.0010512381249026632	0.8216399314748482	0	0	0.0014016508332035508	0.001012303379535898	0	0.0013237813424700202	5.840211805014795e-4	0.006969319420650989	0	0	0	9.733686341691325e-4	0.00770907958261953	0	0	0	0	0	5.06151689767949e-4	0	1.557389814670612e-4	0	4.2828219903441833e-4	0.0018299330322379692	0	0	0	0	0	7.78694907335306e-5	5.06151689767949e-4	0	0	0	0	0	0	0	1.557389814670612e-4	0	7.008254166017754e-4	0
9	0	3.134577876845918e-4	0	0.06638339370298134	5.224296461409863e-4	0	0	0	0	0	0	9.055447199777097e-4	0.0016717748676511562	0	0	0	0.01797157982724993	0.033226525494566735	0.0016021175814990248	0	0	3.831150738367233e-4	0	0	0	0	0	0.8542073000835887	0.004667038172192811	0	0	0	0	0.00027862914460852607	0	0.002124547227640011	0	0	0	0	0.006478127612148231	0	0	0	0	0.002438005015324603	0.0011145165784341043	0	4.876010030649206e-4	0	0	0	9.752020061298412e-4	6.965728615213152e-5	0	0	0	1.7414321538032878e-4	6.965728615213151e-4	7.314015045973809e-4	0	0.0011145165784341043	0	0	0	0.0011145165784341043	0	3.4828643076065756e-4	0	0
