window,kpca1,kpca2
1,0.7944289849984532,-0.026865138862178842
2,0.7984015593073908,-0.015896870119977362
3,0.7659044223702683,0.11813282259526477
4,0.1950622660244274,0.29322220425393125
5,-0.3893498737508451,0.1795629646904918
6,-0.3202970092144507,0.24954230818219633
7,-0.2822622646177164,0.03904866146058769
8,-0.2513555695392381,0.2628017289134194
9,-0.22052230571072598,0.19478461809519687
10,-0.2617808926218461,-0.041927283299173466
11,-0.2094658746853695,-0.12817064459902297
12,-0.17560009821415637,-0.2029170534013357
13,-0.16259880502921273,-0.20036692593200903
14,-0.14199910552549383,-0.18949432537486988
15,-0.10421132582612942,-0.174099714023937
16,-0.060779341023087824,-0.16731013591984495
17,0.026425233057735007,-0.19004721665872004
