window,lambda_full,lambda_without,delta_lambda,role
1,-5.0086619427475165,-4.997886412386331,-0.010775530361185837,Stabilizing
2,-8.891872191851155,-8.87566336683874,-0.016208825012414607,Stabilizing
3,0.20462451974609766,0.20457115643637414,5.336330972352532e-5,Destabilizing
4,0.11985683345236592,0.12504394108636635,-0.005187107634000432,Stabilizing
5,-4.942334073160692,-4.927449835631083,-0.014884237529609656,Stabilizing
6,-4.581751329368256,-4.559606506084196,-0.022144823284059534,Stabilizing
7,0.17874145213321296,-4.091923362209471,4.270664814342684,Destabilizing
8,0.03444593209493289,0.00730244323270921,0.02714348886222368,Destabilizing
9,-2.9460902316012643,0.004424279523165884,-2.95051451112443,Stabilizing
10,-1.9652546715316404,-2.3325951314199904,0.36734045988835007,Destabilizing
11,0.001707036327127839,0.0041738467808602525,-0.0024668104537324135,Stabilizing
12,2.380621318359315e-4,2.3763426305008884e-4,4.27868785842666e-7,Destabilizing
13,2.6657512452687356e-6,1.1047994062772144e-6,1.5609518389915213e-6,Destabilizing
14,1.7174676224128144e-5,8.680736776557426e-6,8.493939447570719e-6,Destabilizing
15,-1.130649435500633,9.999961579970942e-6,-1.1306594354622128,Stabilizing
16,-0.9299875495527867,-1.4291364725338023,0.49914892298101554,Destabilizing
17,3.619769466055211e-4,3.6711269844372577e-4,-5.135751838204674e-6,Stabilizing
